Name_of_the_Purchaser,Denominations,purchase_date,purchase_month,purchase_year,id
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5478
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5498
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5524
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5488
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5477
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5492
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5491
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5513
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5461
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5509
MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000.0,12,Apr,2019,OC5481
MERLIN RECREATION PVT LTD,1000000.0,12,Apr,2019,TL11450
MERLIN RECREATION PVT LTD,1000000.0,12,Apr,2019,TL11449
MERLIN RECREATION PVT LTD,100000.0,12,Apr,2019,OL1121
MERLIN RECREATION PVT LTD,100000.0,12,Apr,2019,OL1120
MERLIN RECREATION PVT LTD,100000.0,12,Apr,2019,OL1123
MERLIN RECREATION PVT LTD,100000.0,12,Apr,2019,OL1116
MERLIN RECREATION PVT LTD,100000.0,12,Apr,2019,OL1122
MSPL LTD,10000000.0,12,Apr,2019,OC588
MYRIAD DEVELOPERS,1000000.0,12,Apr,2019,TL2357
MYRIAD DEVELOPERS,100000.0,12,Apr,2019,OL10036
MYRIAD DEVELOPERS,100000.0,12,Apr,2019,OL10032
MYRIAD DEVELOPERS,100000.0,12,Apr,2019,OL10038
MYRIAD DEVELOPERS,100000.0,12,Apr,2019,OL10034
MYRIAD DEVELOPERS,100000.0,12,Apr,2019,OL10030
OMKAR VENTURES PVT LTD,10000000.0,12,Apr,2019,OC7070
OMKAR VENTURES PVT LTD,10000000.0,12,Apr,2019,OC7066
OMKAR VENTURES PVT LTD,10000000.0,12,Apr,2019,OC7068
